Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
PHL,2012-06-01,2012-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2012,2012,,90.039467,X,base year is 2015
PHL,2013-06-01,2013-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2013,2013,,91.939798,X,base year is 2015
PHL,2014-06-01,2014-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2014,2014,,97.821773,X,base year is 2015
PHL,2015-06-01,2015-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2015,2015,,99.360136,X,base year is 2015
PHL,2016-06-01,2016-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2016,2016,,101.260466,X,base year is 2015
PHL,2017-06-01,2017-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2017,2017,,104.337192,X,base year is 2015
PHL,2018-06-01,2018-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2018,2018,,110.671627,X,base year is 2015
PHL,2019-06-01,2019-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2019,2019,,113.657860,X,base year is 2015
PHL,2020-06-01,2020-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2020,2020,,116.734586,X,base year is 2015
PHL,2021-06-01,2021-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2021,2021,,122.164101,X,base year is 2015
PHL,2022-06-01,2022-06-30,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,2022,2022,,127.818067,X,base year is 2015
PHL,2000-07-01,2000-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2000,2000,,50.788529,A,base year is 2015
PHL,2001-07-01,2001-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2001,2001,,53.047231,A,base year is 2015
PHL,2002-07-01,2002-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2002,2002,,54.079780,A,base year is 2015
PHL,2003-07-01,2003-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2003,2003,,54.660589,A,base year is 2015
PHL,2004-07-01,2004-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2004,2004,,58.339047,A,base year is 2015
PHL,2005-07-01,2005-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2005,2005,,61.565764,A,base year is 2015
PHL,2006-07-01,2006-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2006,2006,,64.598878,A,base year is 2015
PHL,2007-07-01,2007-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2007,2007,,66.793046,A,base year is 2015
PHL,2008-07-01,2008-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2008,2008,,78.344693,A,base year is 2015
PHL,2009-07-01,2009-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2009,2009,,80.280724,A,base year is 2015
PHL,2010-07-01,2010-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2010,2010,,83.378372,A,base year is 2015
PHL,2011-07-01,2011-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2011,2011,,88.153914,A,base year is 2015
PHL,2012-07-01,2012-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2012,2012,,90.582419,X,base year is 2015
PHL,2013-07-01,2013-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2013,2013,,92.301766,X,base year is 2015
PHL,2014-07-01,2014-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2014,2014,,98.907676,X,base year is 2015
PHL,2015-07-01,2015-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2015,2015,,99.812595,X,base year is 2015
PHL,2016-07-01,2016-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2016,2016,,101.531942,X,base year is 2015
PHL,2017-07-01,2017-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2017,2017,,104.337192,X,base year is 2015
PHL,2018-07-01,2018-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2018,2018,,111.667038,X,base year is 2015
PHL,2019-07-01,2019-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2019,2019,,113.838844,X,base year is 2015
PHL,2020-07-01,2020-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2020,2020,,116.553602,X,base year is 2015
PHL,2021-07-01,2021-07-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,2021,2021,,122.254593,X,base year is 2015
PHL,2000-08-01,2000-08-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2000,2000,,51.175735,A,base year is 2015
PHL,2001-08-01,2001-08-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2001,2001,,53.047231,A,base year is 2015
PHL,2002-08-01,2002-08-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2002,2002,,54.466986,A,base year is 2015
PHL,2003-08-01,2003-08-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2003,2003,,54.789658,A,base year is 2015
PHL,2004-08-01,2004-08-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2004,2004,,58.855322,A,base year is 2015
PHL,2005-08-01,2005-08-31,171,'608,Philippines,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,2005,2005,,61.952970,A,base year is 2015
